par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
100,Johnson City,Tennessee,TN,29001,0.0016206,0.0000345,0.0003448,0.0003793,0.0001379,0.0001034,0.0003448,0.0001724,0.0001379,0,0,0,0,0,0,0.0000345,14658,0.0027971,0.0000682,0.0005458,0.000614,0.0002047,0.0002047,0.0006822,0.0002729,0.0002729,0,0,0,0,0,0,0.0000682,14343,0.0004183,0,0.0001394,0.0001394,0.0000697,0,0,0.0000697,0,0,0,0,0,0,0,0,6422,0.0004671,0,0,0,0,0,0.0001557,0.0001557,0.0001557,0,0,0,0,0,0,0,7019,0.0008548,0,0.0002849,0.0002849,0,0.0001425,0,0,0.0001425,0,0,0,0,0,0,0,6967,0.0008612,0,0.0002871,0,0,0,0.0004306,0.0001435,0,0,0,0,0,0,0,0,5014,0.0015955,0,0.0005983,0.0001994,0.0001994,0.0001994,0.0003989,0,0,0,0,0,0,0,0,0,3579,0.0067058,0.0002794,0.0008382,0.0022353,0.0008382,0.0002794,0.0011176,0.0008382,0.0005588,0,0,0,0,0,0,0.0002794
200,Morristown,Tennessee,TN,12212,0.0011464,0.0002457,0.0001638,0.0002457,0.0001638,0,0.0002457,0.0001638,0.0001638,0,0,0,0,0,0.0001638,0.0000819,6199,0.0019358,0.0004839,0.0003226,0.0004839,0,0,0.0004839,0.0003226,0.0003226,0,0,0,0,0,0.0003226,0.0001613,6012,0.0003327,0,0,0,0.0003327,0,0,0,0,0,0,0,0,0,0,0,3213,0.0009337,0.0003112,0,0,0,0,0.0003112,0.0003112,0.0003112,0,0,0,0,0,0.0003112,0,3258,0.0009208,0,0.0003069,0.0003069,0,0,0.0003069,0,0,0,0,0,0,0,0,0,2927,0.0013666,0.0003416,0.0003416,0.0003416,0,0,0.0003416,0.0003416,0,0,0,0,0,0,0.0003416,0,1881,0.0021265,0.0005316,0,0.0005316,0.0010633,0,0,0,0.0005316,0,0,0,0,0,0,0.0005316,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Middlesborough,Tennessee,TN,3347,0.0005976,0,0,0,0.0002988,0,0.0002988,0,0,0,0,0,0,0,0,0,1683,0.0005942,0,0,0,0,0,0.0005942,0,0,0,0,0,0,0,0,0,1664,0.000601,0,0,0,0.000601,0,0,0,0,0,0,0,0,0,0,0,1158,0.0008636,0,0,0,0.0008636,0,0,0,0,0,0,0,0,0,0,0,999,0.001001,0,0,0,0,0,0.001001,0,0,0,0,0,0,0,0,0,713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
302,Knoxville,Tennessee,TN,37791,0.0018258,0.0000794,0.0002117,0.0004498,0.0003175,0.0002117,0.0001588,0.0003175,0.0001588,0,0.0000265,0,0,0,0,0.0000529,19001,0.0029472,0.0001579,0.0003684,0.0007894,0.0003684,0.0003684,0.0002631,0.0005263,0.0002631,0,0.0000526,0,0,0,0,0.0001053,18770,0.0006926,0,0.0000533,0.0001066,0.0002664,0.0000533,0.0000533,0.0001066,0.0000533,0,0,0,0,0,0,0,7437,0.0002689,0,0.0001345,0.0001345,0,0,0,0,0,0,0,0,0,0,0,0,7999,0.0010001,0,0.000125,0.000125,0.00025,0.000125,0.000125,0.00025,0,0,0,0,0,0,0,0,7960,0.0016332,0,0.0001256,0.0005025,0.0001256,0.0002513,0.0001256,0.0003769,0.0001256,0,0,0,0,0,0,0,7377,0.00122,0.0001356,0.0001356,0.0004067,0.0001356,0.0002711,0.0002711,0,0,0,0.0001356,0,0,0,0,0,7018,0.0052722,0.000285,0.00057,0.0011399,0.0011399,0.0004275,0.000285,0.0009974,0.0007125,0,0,0,0,0,0,0.000285
401,Winston-Salem,North Carolina,NC,26286,0.0019402,0.0000761,0.0001902,0.0006848,0.0002283,0.0003043,0.0001522,0.0003043,0.0000761,0,0.0000761,0,0,0,0,0,13280,0.0031627,0.0000753,0.0003012,0.0012048,0.0002259,0.0004518,0.0003012,0.0005271,0.0001506,0,0.0000753,0,0,0,0,0,13004,0.0006921,0.0000769,0.0000769,0.0001538,0.0002307,0.0001538,0,0.0000769,0,0,0.0000769,0,0,0,0,0,4504,0.000222,0,0,0,0,0.000222,0,0,0,0,0,0,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5273,0.0022757,0,0,0.0005689,0.0003793,0.0003793,0.0001896,0.0007586,0,0,0,0,0,0,0,0,5647,0.0024792,0.0001771,0.0003542,0.0010625,0.0003542,0.0003542,0.0001771,0.0001771,0,0,0.0001771,0,0,0,0,0,5571,0.004308,0.0001795,0.0005385,0.0016155,0.000359,0.0005385,0.000359,0.0005385,0.000359,0,0.0001795,0,0,0,0,0
402,Martinsville,Virginia,VA,5300,0.000566,0,0.0001887,0,0,0,0.0001887,0.0001887,0,0,0,0,0,0,0,0,2678,0.0007468,0,0.0003734,0,0,0,0.0003734,0,0,0,0,0,0,0,0,0,2622,0.0003814,0,0,0,0,0,0,0.0003814,0,0,0,0,0,0,0,0,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0.0014306,0,0.0014306,0,0,0,0,0,0,0,0,0,0,0,0,0,449,0.0044543,0,0,0,0,0,0.0022272,0.0022272,0,0,0,0,0,0,0,0
500,Greensboro,North Carolina,NC,54311,0.0015651,0.0001657,0.0002578,0.0004235,0.0001473,0.0002209,0.0000921,0.0002578,0.0001657,0,0.0000552,0,0.0000184,0,0.0000184,0.0000736,27258,0.0025681,0.0002935,0.0004769,0.0007337,0.0001101,0.0003302,0.0001467,0.0004402,0.0003302,0,0.0000734,0,0.0000367,0,0.0000367,0.0001467,27050,0.0005545,0.000037,0.000037,0.0001109,0.0001848,0.0001109,0.000037,0.0000739,0,0,0.000037,0,0,0,0,0,10803,0.0004628,0.0000926,0,0.0001851,0.0000926,0,0,0.0000926,0.0000926,0,0.0000926,0,0,0,0,0,12622,0.0003169,0,0.0001585,0.0001585,0,0,0,0,0,0,0,0,0,0,0,0,11052,0.0010858,0.0000905,0.0003619,0.0002714,0,0.000181,0.0000905,0.000181,0,0,0,0,0,0,0.0000905,0,10634,0.0014106,0.000094,0.000094,0.0004702,0.0001881,0.0001881,0.000094,0.0002821,0.000094,0,0,0,0,0,0,0.000094,9200,0.0053261,0.0006522,0.0007609,0.0011957,0.0005435,0.0008696,0.0003261,0.0008696,0.0007609,0,0.0002174,0,0.0001087,0,0,0.0003261
601,North Wilkesboro,North Carolina,NC,4703,0.0008505,0,0,0,0,0.0002126,0,0.0004253,0.0002126,0,0,0,0,0,0,0,2417,0.0012412,0,0,0,0,0.0004137,0,0.0008275,0,0,0,0,0,0,0,0,2286,0.0004374,0,0,0,0,0,0,0,0.0004374,0,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326,0.0007541,0,0,0,0,0,0,0,0.0007541,0,0,0,0,0,0,0,1182,0.000846,0,0,0,0,0,0,0.000846,0,0,0,0,0,0,0,0,682,0.0029326,0,0,0,0,0.0014663,0,0.0014663,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,Galax,Virginia,VA,2938,0.0003404,0,0,0,0,0,0,0.0003404,0,0,0,0,0,0,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431,0.0006988,0,0,0,0,0,0,0.0006988,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0.0024038,0,0,0,0,0,0,0.0024038,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
700,Spartanburg,South Carolina,SC,19529,0.0011777,0.0001536,0.0001536,0.0002048,0.0002048,0.0000512,0.0001024,0.0004096,0.0000512,0,0.0000512,0,0,0,0.0001024,0,9758,0.0020496,0.0003074,0.000205,0.0004099,0.0003074,0.0001025,0.0001025,0.0008198,0.0001025,0,0.0001025,0,0,0,0.000205,0,9770,0.0003071,0,0.0001024,0,0.0001024,0,0.0001024,0,0,0,0,0,0,0,0,0,4187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4975,0.000201,0,0,0,0,0,0,0.000201,0,0,0,0,0,0,0,0,4149,0.0014461,0,0.000241,0.000241,0.000241,0.000241,0.000241,0.000241,0,0,0,0,0,0,0,0,3660,0.0016393,0.0005464,0.0002732,0.0002732,0.0002732,0,0,0.0005464,0.0002732,0,0.0002732,0,0,0,0.0002732,0,2558,0.0039093,0.0003909,0.0003909,0.0007819,0.0007819,0,0.0003909,0.0015637,0,0,0,0,0,0,0.0003909,0
